Timestamp,Which part of Math is terrifying for you? ,Do you feel that unavailability of good Math teacher is a reason behind your fear of math?  ,Do you get frustrated or frightened when you fail to solve problems repeatedly?,Do you feel rote learning of mathematics increase Math phobia?,Do you have Dyscalculia?,Do you think psychological disorder is one of the reasons behind Math phobia?,Do you think lack of concentration is one of the reasons behind your fear of math?,Do you think unclear concepts of the topics are the reasons behind Math phobia?,Do you think Yoga can solve the Math phobia? ,Do you think Math phobia is caused due to the pressure of performing well?,Do you feel Mathematics phobia arises because you are not able to connect Mathematics with the real world?,Do you agree that regular practice of Mathematics can solve the problems related to Math phobia?,Does breaking up a complicated problem into smaller part help in betterment?,Does studying in peer groups and seeking help from teacher help to eradicate Math phobia?,Does frequent mock tests help to release the pressure?,Positive
5/13/2023 12:00:08,Arithmetic,Strongly Agree,Strongly Agree,Moderately Agree,Not at all,Not yet decided,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Not yet decided,0
5/13/2023 20:10:44,All of the above,Strongly Agree,Strongly Agree,Not yet decided,"No, I didn't",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 11:19:41,Algebra,Strongly Agree,Strongly Agree,Not yet decided,"No, I didn't",Strongly Disagree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 11:27:17,Trigonometry,Strongly Agree,Not yet decided,Moderately Disagree,None of the above,Moderately Agree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/14/2023 11:53:46,All of the above,Moderately Disagree,Strongly Agree,Not yet decided,"Yes, I suffered",Moderately Agree,Moderately Disagree,Moderately Agree,Not yet decided,Moderately Disagree,Strongly Disagree,Moderately Disagree,Not yet decided,Yes,Moderately Agree,0
5/14/2023 12:06:15,Arithmetic,Moderately Agree,Strongly Agree,Moderately Agree,Some times,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 12:35:27,All of the above,Strongly Agree,Moderately Agree,Strongly Agree,Not at all,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 12:42:39,Geometry,Strongly disagree,Strongly Disagee,Strongly Disagree,Not at all,Not yet decided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,never,Stongly Agree,1
5/14/2023 12:51:13,Algebra,Strongly Agree,Moderately Agree,Not yet decided,"No, I didn't",Not yet decided,Strongly Agree,Strongly Agree,Not yet decided,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 12:57:31,Arithmetic,Moderately Agree,Strongly Agree,Moderately Agree,Some times,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Yes,Moderately Disagree,0
5/14/2023 13:09:18,Arithmetic,Not yet decided,Strongly Agree,Strongly Agree,Some times,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 13:12:41,Geometry,Strongly Agree,Strongly Agree,Strongly Agree,Some times,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/14/2023 13:46:43,All of the above,Strongly Agree,Not yet decided,Moderately Agree,None of the above,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Not yet decided,Not yet decided,Not yet decided,Sometimes,Moderately Disagree,0
5/17/2023 12:54:05,Geometry,Moderately Agree,Strongly Agree,Not yet decided,Some times,Not yet decided,Moderately Disagree,Not yet decided,Not yet decided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 13:48:37,All of the above,Strongly disagree,Strongly Agree,Not yet decided,Some times,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 13:48:29,Arithmetic,Strongly Agree,Moderately Agree,Moderately Agree,Not at all,Not yet decided,Not yet decided,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Not yet decided,Yes,Not yet decided,0
5/14/2023 13:49:17,Trigonometry,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I suffered",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 13:56:55,All of the above,Moderately Disagree,Strongly Agree,Not yet decided,Some times,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Sometimes,Stongly Agree,1
5/14/2023 14:01:58,Algebra,Strongly Agree,Strongly Agree,Strongly Agree,"No, I didn't",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 14:13:38,Arithmetic,Strongly Agree,Moderately Disagree,Strongly Disagree,Not at all,Moderately Agree,Strongly Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 14:14:28,All of the above,Strongly disagree,Not yet decided,Not yet decided,"No, I didn't",Not yet decided,Strongly Agree,Not yet decided,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Yes,Not yet decided,0
5/14/2023 14:14:34,Geometry,Moderately Disagree,Strongly Agree,Not yet decided,Some times,Moderately Disagree,Not yet decided,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Not yet decided,Strongly Disagree,never,Stongly Agree,1
